x	Y	date
120.3	-1.88	2015-01-01
120.41	-1.99	2015-01-01
162.64	-11.76	2015-01-01
51.9	28.45	2015-01-01
164.06	55.56	2015-01-01
154.34	47.15	2015-01-01
113.84	-10.14	2015-01-01
129.36	-2.69	2015-01-01
-175.6	-22.5	2015-01-01
113.33	-9.32	2015-01-01
120.77	-2.17	2015-01-01
120.87	-2.21	2015-01-01
120.67	-2.14	2015-01-01
120.87	-2.22	2015-01-01
123.48	-0.1	2015-01-01
60.46	6.47	2015-01-02
128.65	2.47	2015-01-02
125.11	4.64	2015-01-02
97.17	1.2	2015-01-02
98.63	0.31	2015-01-02
123.33	1.26	2015-01-02
126.77	2.74	2015-01-02
-149.88	-56.68	2015-01-02
122.89	-0.14	2015-01-02
120.69	-2.14	2015-01-03
128.11	2.55	2015-01-03
127.22	2.89	2015-01-03
126.54	1.82	2015-01-03
130.11	-3.45	2015-01-03
123.82	-0.11	2015-01-03
94.42	2.52	2015-01-03
120.11	57.71	2015-01-03
71.78	37.38	2015-01-03
97.66	1.5	2015-01-03
125.6	3.8	2015-01-03
126.09	1.2	2015-01-03
141.96	39.53	2015-01-03
168.77	-17.34	2015-01-03
134.17	-4.61	2015-01-04
122.21	0.9	2015-01-04
106.5	-7.86	2015-01-04
130.39	29.33	2015-01-04
125.69	-0.09	2015-01-04
-150.91	-56.86	2015-01-04
125.42	0.74	2015-01-04
101.9	-4.65	2015-01-04
95.72	2.72	2015-01-04
125.97	1.81	2015-01-04
148.6	45.61	2015-01-04
158.16	-57.88	2015-01-04
151.05	-7.03	2015-01-04
124.37	3.61	2015-01-05
128.13	-1.16	2015-01-05
122.99	2.96	2015-01-05
100.5	-0.56	2015-01-05
129.87	-6.63	2015-01-05
123.46	-0.1	2015-01-05
151.27	-4.5	2015-01-05
121.97	24.66	2015-01-05
113.89	56.39	2015-01-05
130.52	-7.19	2015-01-05
141.83	30.33	2015-01-05
126.75	4.33	2015-01-05
111.92	-8.47	2015-01-05
121.64	0.56	2015-01-05
139.86	-2.02	2015-01-05
51.74	28.72	2015-01-05
126.71	6.66	2015-01-05
142.04	30.62	2015-01-05
142.51	30.51	2015-01-05
171.12	-43.17	2015-01-05
131.14	-3.22	2015-01-05
131.16	-3.39	2015-01-05
81.69	29.1	2015-01-05
122.77	-0.19	2015-01-05
-179.12	-21.35	2015-01-05
-17.72	65.41	2015-01-05
110.39	-8.88	2015-01-05
92.95	32.64	2015-01-05
164.44	-49.21	2015-01-06
120.77	-1.13	2015-01-06
124.38	3.05	2015-01-06
121.33	0.52	2015-01-06
129.71	-6.84	2015-01-06
125.6	-2.18	2015-01-06
119.58	-8.2	2015-01-06
104.6	-4.41	2015-01-06
131.69	-6.31	2015-01-06
129.89	-6.71	2015-01-06
99.4	1.65	2015-01-06
152.86	-3.4	2015-01-06
120.4	-10.62	2015-01-06
163.48	55.68	2015-01-06
124.68	-0.24	2015-01-07
139.67	-3.25	2015-01-07
70.77	36.55	2015-01-07
121.7	24.19	2015-01-07
130.63	-5.09	2015-01-07
96.66	2.01	2015-01-07
159.42	-8.23	2015-01-07
146.78	-6.12	2015-01-07
146.81	-6.31	2015-01-07
51.99	28.62	2015-01-07
139.79	-3.02	2015-01-07
103.72	-6.6	2015-01-07
128.46	-3.23	2015-01-07
152.89	-5.99	2015-01-07
140.1	-2.36	2015-01-08
106.68	-7.42	2015-01-08
120.48	-10.7	2015-01-08
179.92	-24.62	2015-01-08
-178.52	-17.79	2015-01-08
122.33	1.34	2015-01-08
114.96	-8.68	2015-01-08
132.41	-6.8	2015-01-08
139.94	-1.72	2015-01-08
129.19	-2.82	2015-01-08
161.56	-61.84	2015-01-08
122.14	-8.39	2015-01-08
117.94	-9.27	2015-01-08
145	43.66	2015-01-08
122.45	23.65	2015-01-08
117.61	-8.23	2015-01-08
111.71	-9.35	2015-01-08
111.67	-9.43	2015-01-08
127.35	-1.13	2015-01-09
120.59	-2.11	2015-01-09
122.95	-0.25	2015-01-09
95.69	5.48	2015-01-09
100.91	-2.6	2015-01-09
99.95	-3.07	2015-01-09
107.84	-9.1	2015-01-09
129.66	-2.6	2015-01-09
126.22	-1.39	2015-01-09
106.69	-7.6	2015-01-09
127.42	1.9	2015-01-09
96.05	2.62	2015-01-09
150.29	18.16	2015-01-09
68.35	-5.82	2015-01-10
-173.1	-16.3	2015-01-10
161.26	-10.07	2015-01-10
77.5	40.06	2015-01-10
91.27	11.03	2015-01-10
108.06	-8.22	2015-01-10
51.82	28.76	2015-01-10
123.42	-0.04	2015-01-10
138.49	-3.74	2015-01-10
121.96	-0.41	2015-01-10
-68.51	-21.28	2015-01-10
120.24	14.86	2015-01-10
102.23	-4.55	2015-01-11
129.84	-2.49	2015-01-11
129.72	-2.53	2015-01-11
154.35	-3.55	2015-01-11
123.04	-0.16	2015-01-11
126.16	11.6	2015-01-11
123.2	-0.47	2015-01-11
147.65	-8.45	2015-01-11
121.98	0.77	2015-01-11
9.42	77.31	2015-01-11
126.12	2.07	2015-01-11
66.5	-20.89	2015-01-12
96.88	1.95	2015-01-12
100.08	-0.81	2015-01-12
147.21	-6.42	2015-01-12
141.39	-3.41	2015-01-12
121.59	0.36	2015-01-12
121.38	0.56	2015-01-12
128.81	-2.58	2015-01-12
107.29	-7.87	2015-01-12
98.25	0.46	2015-01-12
170.72	-21.84	2015-01-12
123.2	2.23	2015-01-12
142.72	35.88	2015-01-12
115.43	-8.4	2015-01-12
125.23	0.27	2015-01-12
128.07	-3.02	2015-01-12
126.39	1.64	2015-01-12
122.99	-0.1	2015-01-12
167.12	-14.29	2015-01-12
124.42	4.27	2015-01-12
133.8	-5.62	2015-01-12
102.12	-4.38	2015-01-12
122.33	-2.82	2015-01-13
146.14	-5.41	2015-01-13
129.43	31	2015-01-13
126.21	5.83	2015-01-13
151.08	-5.21	2015-01-13
146.51	-6.46	2015-01-13
23.04	36.4	2015-01-13
168.92	-46.47	2015-01-13
70.45	36.67	2015-01-13
123.6	-10.31	2015-01-13
124.62	13.05	2015-01-13
158.6	48.01	2015-01-13
141.43	39.28	2015-01-13
147.05	-6.39	2015-01-13
116.19	-8.94	2015-01-13
125.2	-0.36	2015-01-14
122.98	-0.13	2015-01-14
123.28	-0.04	2015-01-14
103.26	29.33	2015-01-14
-174.72	-21.57	2015-01-14
126.67	0.01	2015-01-14
119.49	-3.94	2015-01-14
112.87	-9.5	2015-01-14
124.07	-9.08	2015-01-14
122.46	0.19	2015-01-14
119.65	-8.37	2015-01-14
112.89	-9.5	2015-01-14
129.34	-3.78	2015-01-14
112.86	-9.36	2015-01-14
120.28	1.06	2015-01-14
141.54	48.83	2015-01-14
120.79	-2.39	2015-01-14
96.96	1.11	2015-01-14
119.98	0.15	2015-01-15
92.55	22.71	2015-01-15
122.1	1.01	2015-01-15
126.16	-3.77	2015-01-15
121.1	-7.19	2015-01-15
123.31	-10.58	2015-01-15
129.68	-2.9	2015-01-15
116.84	-8.29	2015-01-15
121.16	-2.34	2015-01-15
123.76	-8.42	2015-01-15
123.67	-8.84	2015-01-15
-178.82	-20.94	2015-01-15
147.91	-6.68	2015-01-15
171.08	-21.44	2015-01-15
126	0.13	2015-01-15
112.85	-9.42	2015-01-15
97.15	4.17	2015-01-15
102.67	-4.92	2015-01-15
93.76	5.4	2015-01-15
120.76	-8.32	2015-01-15
140.46	-2.28	2015-01-15
126.96	3.9	2015-01-15
127.08	-1.19	2015-01-15
126.78	2.06	2015-01-15
100.04	-0.88	2015-01-15
124.48	-9.14	2015-01-15
109.92	-8.94	2015-01-16
105.04	-3.74	2015-01-16
126.42	24.08	2015-01-16
98.92	0.25	2015-01-16
122.96	-0.37	2015-01-16
167.76	-17.83	2015-01-16
105.39	-6.2	2015-01-16
118.22	-8.28	2015-01-16
118.2	-8.24	2015-01-16
118.62	-7.77	2015-01-16
130.13	-5.02	2015-01-16
115.08	-8.61	2015-01-16
151.81	-4.67	2015-01-16
130.56	-6.54	2015-01-16
121.93	-8.3	2015-01-16
121.95	24.4	2015-01-16
119.01	-9.2	2015-01-16
106.31	-7.52	2015-01-16
96.85	3.64	2015-01-16
120.87	0.68	2015-01-16
128.75	-3.27	2015-01-16
117.76	-9.47	2015-01-16
101.46	-4	2015-01-16
128.4	-7.62	2015-01-16
117.79	-8.19	2015-01-17
-177.39	-20.04	2015-01-17
130.07	-2.9	2015-01-17
120.72	13.99	2015-01-17
105.04	-6.97	2015-01-17
-173.88	-16.17	2015-01-17
167.26	-17.55	2015-01-17
167.69	-17.6	2015-01-17
123.98	-8.05	2015-01-17
102.74	-4.62	2015-01-17
118.89	-8.49	2015-01-17
124.48	-10.49	2015-01-17
122.68	1.06	2015-01-17
134.44	-1.87	2015-01-17
126.39	4.18	2015-01-17
97.82	19.85	2015-01-17
125.44	0.5	2015-01-17
117.74	-8.21	2015-01-17
121.47	0.66	2015-01-17
121.4	-6.85	2015-01-17
-62.76	-22.75	2015-01-17
104.99	-6.71	2015-01-17
95.46	2.64	2015-01-17
129.25	-4.36	2015-01-17
52.96	40.33	2015-01-17
131.87	-5.81	2015-01-17
120.82	14.12	2015-01-18
108.92	-8.44	2015-01-18
120.74	-8.47	2015-01-18
142.64	28.81	2015-01-18
179.12	51.86	2015-01-18
120.96	0.17	2015-01-18
130.15	-2.88	2015-01-18
130.16	-2.88	2015-01-18
104.21	-5.8	2015-01-18
140.23	-2.51	2015-01-18
139.77	-2.36	2015-01-18
141.93	30.48	2015-01-18
125.89	-2	2015-01-18
92.59	0.76	2015-01-18
124.27	-0.04	2015-01-18
116.18	-8.95	2015-01-18
178.44	-17.91	2015-01-18
118.49	-8.15	2015-01-18
127.4	-3.5	2015-01-18
96.88	0.09	2015-01-18
125.87	2.83	2015-01-18
-178.1	-19.63	2015-01-18
116.01	-8.93	2015-01-19
138.94	-2.61	2015-01-19
145.21	-6.13	2015-01-19
126.32	1.76	2015-01-19
97.04	3.5	2015-01-19
121.59	22.78	2015-01-19
140.15	-2.85	2015-01-19
95.99	2.57	2015-01-19
119.08	-9.18	2015-01-19
117.29	-9.49	2015-01-19
124.75	2.41	2015-01-19
114.06	-8.18	2015-01-19
97.62	1.85	2015-01-19
125.33	-0.27	2015-01-19
126.5	1.86	2015-01-19
158.76	-53.53	2015-01-19
12.31	72.51	2015-01-19
8.32	72.91	2015-01-19
126.3	1.43	2015-01-19
176.68	-16.61	2015-01-19
99.74	25.98	2015-01-19
119.86	4.61	2015-01-19
104.12	-3.63	2015-01-19
138.53	37.18	2015-01-19
146.83	15.11	2015-01-19
127.07	6.01	2015-01-20
117.7	-8.08	2015-01-20
84.5	42.05	2015-01-20
117.79	-8.22	2015-01-20
-174.97	-17.37	2015-01-20
139.1	-3.98	2015-01-20
78.93	49.13	2015-01-20
128.62	-2.32	2015-01-20
128.54	1.99	2015-01-20
132.73	-0.33	2015-01-20
154.52	-6.3	2015-01-20
155.37	48.56	2015-01-20
102.43	-5.42	2015-01-20
122.51	0.16	2015-01-20
123.73	6.23	2015-01-20
122.31	24.02	2015-01-20
122.44	-2.88	2015-01-21
100.96	-2.37	2015-01-21
125.48	5.63	2015-01-21
106.38	-6.95	2015-01-21
146.71	18.08	2015-01-21
124.44	-8.83	2015-01-21
129.75	-6.76	2015-01-21
118.5	-9.26	2015-01-21
123.53	-1.14	2015-01-21
43.4	38.13	2015-01-21
120.6	-8.11	2015-01-21
120.94	1.29	2015-01-21
129.77	-6.87	2015-01-21
122.27	0.6	2015-01-21
128.71	-8.49	2015-01-21
146.41	-5.66	2015-01-21
146.34	-5.71	2015-01-21
128.81	-2.41	2015-01-21
119.69	-8.32	2015-01-21
7.26	73.05	2015-01-22
130.93	-3.23	2015-01-22
130.92	-3.19	2015-01-22
123.07	-8.45	2015-01-22
169.18	-17.99	2015-01-22
119.35	-5.44	2015-01-22
112.44	-11.28	2015-01-22
118.1	-9.7	2015-01-22
116.54	-8.71	2015-01-22
140.72	-2.59	2015-01-22
128.84	-2.44	2015-01-22
122.55	-2.92	2015-01-22
82.82	44.27	2015-01-22
121.47	20.09	2015-01-22
126.75	-2.68	2015-01-22
119.65	1.09	2015-01-22
121.64	0.89	2015-01-22
130.06	-6.1	2015-01-22
130.92	-3.2	2015-01-22
123.84	-10.48	2015-01-23
168.4	-17.05	2015-01-23
132.53	-0.14	2015-01-23
104.37	-4.55	2015-01-23
139.67	-1.87	2015-01-23
126.82	2.29	2015-01-23
139.79	-1.7	2015-01-23
121.83	-0.18	2015-01-23
102.05	-4.56	2015-01-23
121.81	-0.49	2015-01-23
